code,id,question,response
zhlebtjq,self,climate_concern,1.0
zhlebtjq,friend1,climate_concern,1.0
zhlebtjq,friend2,climate_concern,1.0
zhlebtjq,friend3,climate_concern,2.0
zhlebtjq,GreenVoter,climate_concern,1.0
zhlebtjq,AfDVoter,climate_concern,3.0
zhlebtjq,P1,climate_concern,7.0
zhlebtjq,P2,climate_concern,5.5
zhlebtjq,P3,climate_concern,4.6
zhlebtjq,P4,climate_concern,4.15
zhlebtjq,self,gay_adoption,1.0
zhlebtjq,friend1,gay_adoption,2.0
zhlebtjq,friend2,gay_adoption,1.0
zhlebtjq,friend3,gay_adoption,1.0
zhlebtjq,GreenVoter,gay_adoption,1.0
zhlebtjq,AfDVoter,gay_adoption,4.0
zhlebtjq,P1,gay_adoption,7.0
zhlebtjq,P2,gay_adoption,5.5
zhlebtjq,P3,gay_adoption,4.3
zhlebtjq,P4,gay_adoption,3.85
zhlebtjq,self,migration_enriches_culture,1.0
zhlebtjq,friend1,migration_enriches_culture,2.0
zhlebtjq,friend2,migration_enriches_culture,1.0
zhlebtjq,friend3,migration_enriches_culture,2.0
zhlebtjq,GreenVoter,migration_enriches_culture,2.0
zhlebtjq,AfDVoter,migration_enriches_culture,5.0
zhlebtjq,P1,migration_enriches_culture,7.0
zhlebtjq,P2,migration_enriches_culture,5.5
zhlebtjq,P3,migration_enriches_culture,2.5
zhlebtjq,P4,migration_enriches_culture,1.0
zhlebtjq,self,govt_reduce_inequ,1.0
zhlebtjq,friend1,govt_reduce_inequ,3.0
zhlebtjq,friend2,govt_reduce_inequ,2.0
zhlebtjq,friend3,govt_reduce_inequ,1.0
zhlebtjq,GreenVoter,govt_reduce_inequ,2.0
zhlebtjq,AfDVoter,govt_reduce_inequ,3.0
zhlebtjq,P1,govt_reduce_inequ,7.0
zhlebtjq,P2,govt_reduce_inequ,5.5
zhlebtjq,P3,govt_reduce_inequ,4.6
zhlebtjq,P4,govt_reduce_inequ,1.0
zhlebtjq,self,name,zhlebtjq
zhlebtjq,friend1,name,Mama
zhlebtjq,friend2,name,Annika
zhlebtjq,friend3,name,Ben
zhlebtjq,GreenVoter,name,GreenVoter
zhlebtjq,AfDVoter,name,AfDVoter
zhlebtjq,P1,name,P1
zhlebtjq,P2,name,P2
zhlebtjq,P3,name,P3
zhlebtjq,P4,name,P4
zhlebtjq,self,perceived_distances,
zhlebtjq,friend1,perceived_distances,119.4361754243663
zhlebtjq,friend2,perceived_distances,34.48187929913333
zhlebtjq,friend3,perceived_distances,76.68767828015137
zhlebtjq,GreenVoter,perceived_distances,80.15609770940699
zhlebtjq,AfDVoter,perceived_distances,438.02454860056804
zhlebtjq,P1,perceived_distances,333.22959187088645
zhlebtjq,P2,perceived_distances,401.2245744475593
zhlebtjq,P3,perceived_distances,52.56006455230268
zhlebtjq,P4,perceived_distances,425.2812643201419
zhlebtjq,self,manhattan_distances,
zhlebtjq,friend1,manhattan_distances,1.0
zhlebtjq,friend2,manhattan_distances,0.25
zhlebtjq,friend3,manhattan_distances,0.5
zhlebtjq,GreenVoter,manhattan_distances,0.5
zhlebtjq,AfDVoter,manhattan_distances,2.75
zhlebtjq,P1,manhattan_distances,6.0
zhlebtjq,P2,manhattan_distances,4.5
zhlebtjq,P3,manhattan_distances,2.9999999999999996
zhlebtjq,P4,manhattan_distances,1.5
zhlebtjq,self,euclidean_distances,
zhlebtjq,friend1,euclidean_distances,2.449489742783178
zhlebtjq,friend2,euclidean_distances,1.0
zhlebtjq,friend3,euclidean_distances,1.4142135623730951
zhlebtjq,GreenVoter,euclidean_distances,1.4142135623730951
zhlebtjq,AfDVoter,euclidean_distances,5.744562646538029
zhlebtjq,P1,euclidean_distances,12.0
zhlebtjq,P2,euclidean_distances,9.0
zhlebtjq,P3,euclidean_distances,6.249799996799896
zhlebtjq,P4,euclidean_distances,4.247940677551889
2e7dhfif,self,climate_concern,1.0
2e7dhfif,friend1,climate_concern,2.0
2e7dhfif,friend2,climate_concern,1.0
2e7dhfif,friend3,climate_concern,2.0
2e7dhfif,GreenVoter,climate_concern,1.0
2e7dhfif,AfDVoter,climate_concern,4.0
2e7dhfif,P1,climate_concern,7.0
2e7dhfif,P2,climate_concern,5.5
2e7dhfif,P3,climate_concern,4.6
2e7dhfif,P4,climate_concern,4.15
2e7dhfif,self,gay_adoption,1.0
2e7dhfif,friend1,gay_adoption,2.0
2e7dhfif,friend2,gay_adoption,1.0
2e7dhfif,friend3,gay_adoption,2.0
2e7dhfif,GreenVoter,gay_adoption,1.0
2e7dhfif,AfDVoter,gay_adoption,5.0
2e7dhfif,P1,gay_adoption,7.0
2e7dhfif,P2,gay_adoption,5.5
2e7dhfif,P3,gay_adoption,4.3
2e7dhfif,P4,gay_adoption,3.85
2e7dhfif,self,migration_enriches_culture,3.0
2e7dhfif,friend1,migration_enriches_culture,3.0
2e7dhfif,friend2,migration_enriches_culture,1.0
2e7dhfif,friend3,migration_enriches_culture,3.0
2e7dhfif,GreenVoter,migration_enriches_culture,1.0
2e7dhfif,AfDVoter,migration_enriches_culture,5.0
2e7dhfif,P1,migration_enriches_culture,7.0
2e7dhfif,P2,migration_enriches_culture,5.5
2e7dhfif,P3,migration_enriches_culture,2.5
2e7dhfif,P4,migration_enriches_culture,1.0
2e7dhfif,self,govt_reduce_inequ,3.0
2e7dhfif,friend1,govt_reduce_inequ,2.0
2e7dhfif,friend2,govt_reduce_inequ,1.0
2e7dhfif,friend3,govt_reduce_inequ,2.0
2e7dhfif,GreenVoter,govt_reduce_inequ,2.0
2e7dhfif,AfDVoter,govt_reduce_inequ,4.0
2e7dhfif,P1,govt_reduce_inequ,7.0
2e7dhfif,P2,govt_reduce_inequ,5.5
2e7dhfif,P3,govt_reduce_inequ,4.6
2e7dhfif,P4,govt_reduce_inequ,1.0
2e7dhfif,self,name,2e7dhfif
2e7dhfif,friend1,name,MG
2e7dhfif,friend2,name,AS
2e7dhfif,friend3,name,NP
2e7dhfif,GreenVoter,name,GreenVoter
2e7dhfif,AfDVoter,name,AfDVoter
2e7dhfif,P1,name,P1
2e7dhfif,P2,name,P2
2e7dhfif,P3,name,P3
2e7dhfif,P4,name,P4
2e7dhfif,self,perceived_distances,
