code,identity,observedA,observedB,cat_A,cat_B,A_climate_concern,A_gay_adoption,A_migration_enriches_culture,A_govt_reduce_inequ,B_climate_concern,B_gay_adoption,B_migration_enriches_culture,B_govt_reduce_inequ,ed_climate_concern,ed_gay_adoption,ed_migration_enriches_culture,ed_govt_reduce_inequ,posAx,posAy,posBx,posBy,euclideanDistance,perceivedDistance
652hnk9k,Grüne,self,friend1,self,friend,2,1,2.0,2,1,1,2.0,1,1,0,0.0,1,292.5,209.60000610351562,357.5,180.60000610351562,1.4142135623730951,71.17583859709698
652hnk9k,Grüne,self,friend2,self,friend,2,1,2.0,2,2,1,2.0,3,0,0,0.0,1,292.5,209.60000610351562,295.5,234.60000610351562,1.0,25.179356624028344
652hnk9k,Grüne,self,friend3,self,friend,2,1,2.0,2,1,1,2.0,2,1,0,0.0,0,292.5,209.60000610351562,336.5,184.60000610351562,1.0,50.60632371551998
652hnk9k,Grüne,self,GreenVoter,self,voter,2,1,2.0,2,1,1,2.0,2,1,0,0.0,0,292.5,209.60000610351562,349.5,200.60000610351562,1.0,57.706152185014034
652hnk9k,Grüne,self,AfDVoter,self,voter,2,1,2.0,2,4,4,5.0,3,2,3,3.0,1,292.5,209.60000610351562,20.5,332.6000061035156,4.795831523312719,298.5180061570826
652hnk9k,Grüne,self,P1,self,P,2,1,2.0,2,3,3,3.0,5,1,2,1.0,3,292.5,209.60000610351562,286.5,369.6000061035156,3.872983346207417,160.11246047700348
652hnk9k,Grüne,self,P2,self,P,2,1,2.0,2,3,5,3.0,5,1,4,1.0,3,292.5,209.60000610351562,170.5,441.6000061035156,5.196152422706632,262.1221089492453
652hnk9k,Grüne,self,P3,self,P,2,1,2.0,2,1,1,1.0,1,1,0,1.0,1,292.5,209.60000610351562,395.5,168.60000610351562,1.7320508075688772,110.86027241532469
652hnk9k,Grüne,self,P4,self,P,2,1,2.0,2,3,3,5.0,3,1,2,3.0,1,292.5,209.60000610351562,109.5,225.60000610351562,3.872983346207417,183.69812192834198
652hnk9k,Grüne,friend1,friend2,friend,friend,1,1,2.0,1,2,1,2.0,3,1,0,0.0,2,357.5,180.60000610351562,295.5,234.60000610351562,2.23606797749979,82.21921916437786
652hnk9k,Grüne,friend1,friend3,friend,friend,1,1,2.0,1,1,1,2.0,2,0,0,0.0,1,357.5,180.60000610351562,336.5,184.60000610351562,1.0,21.37755832643195
652hnk9k,Grüne,friend1,GreenVoter,friend,voter,1,1,2.0,1,1,1,2.0,2,0,0,0.0,1,357.5,180.60000610351562,349.5,200.60000610351562,1.0,21.540659228538015
652hnk9k,Grüne,friend1,AfDVoter,friend,voter,1,1,2.0,1,4,4,5.0,3,3,3,3.0,2,357.5,180.60000610351562,20.5,332.6000061035156,5.5677643628300215,369.69311597594026
652hnk9k,Grüne,friend1,P1,friend,P,1,1,2.0,1,3,3,3.0,5,2,2,1.0,4,357.5,180.60000610351562,286.5,369.6000061035156,5.0,201.89601283829256
652hnk9k,Grüne,friend1,P2,friend,P,1,1,2.0,1,3,5,3.0,5,2,4,1.0,4,357.5,180.60000610351562,170.5,441.6000061035156,6.082762530298219,321.0763149159402
652hnk9k,Grüne,friend1,P3,friend,P,1,1,2.0,1,1,1,1.0,1,0,0,1.0,0,357.5,180.60000610351562,395.5,168.60000610351562,1.0,39.84971769034255
652hnk9k,Grüne,friend1,P4,friend,P,1,1,2.0,1,3,3,5.0,3,2,2,3.0,2,357.5,180.60000610351562,109.5,225.60000610351562,4.58257569495584,252.04959829366916
652hnk9k,Grüne,friend2,friend3,friend,friend,2,1,2.0,3,1,1,2.0,2,1,0,0.0,1,295.5,234.60000610351562,336.5,184.60000610351562,1.4142135623730951,64.66065264130884
