,code,id,question,response
0,xosp2yb8,self,climate_concern,7.0
1,xosp2yb8,friend1,climate_concern,6.0
2,xosp2yb8,friend2,climate_concern,6.0
3,xosp2yb8,friend3,climate_concern,7.0
4,xosp2yb8,Green_Voter,climate_concern,6.0
5,xosp2yb8,AfD_Voter,climate_concern,2.0
6,xosp2yb8,P1,climate_concern,7.0
7,xosp2yb8,P2,climate_concern,5.5
8,xosp2yb8,P3,climate_concern,4.6
9,xosp2yb8,P4,climate_concern,4.15
10,xosp2yb8,self,gay_adoption,7.0
11,xosp2yb8,friend1,gay_adoption,7.0
12,xosp2yb8,friend2,gay_adoption,7.0
13,xosp2yb8,friend3,gay_adoption,7.0
14,xosp2yb8,Green_Voter,gay_adoption,6.0
15,xosp2yb8,AfD_Voter,gay_adoption,3.0
16,xosp2yb8,P1,gay_adoption,7.0
17,xosp2yb8,P2,gay_adoption,5.5
18,xosp2yb8,P3,gay_adoption,4.3
19,xosp2yb8,P4,gay_adoption,3.85
20,xosp2yb8,self,migration_enriches_culture,6.0
21,xosp2yb8,friend1,migration_enriches_culture,6.0
22,xosp2yb8,friend2,migration_enriches_culture,6.0
23,xosp2yb8,friend3,migration_enriches_culture,6.0
24,xosp2yb8,Green_Voter,migration_enriches_culture,4.0
25,xosp2yb8,AfD_Voter,migration_enriches_culture,2.0
26,xosp2yb8,P1,migration_enriches_culture,7.0
27,xosp2yb8,P2,migration_enriches_culture,5.5
28,xosp2yb8,P3,migration_enriches_culture,2.5
29,xosp2yb8,P4,migration_enriches_culture,1.0
30,xosp2yb8,self,govt_reduce_inequ,6.0
31,xosp2yb8,friend1,govt_reduce_inequ,6.0
32,xosp2yb8,friend2,govt_reduce_inequ,6.0
33,xosp2yb8,friend3,govt_reduce_inequ,6.0
34,xosp2yb8,Green_Voter,govt_reduce_inequ,5.0
35,xosp2yb8,AfD_Voter,govt_reduce_inequ,4.0
36,xosp2yb8,P1,govt_reduce_inequ,7.0
37,xosp2yb8,P2,govt_reduce_inequ,5.5
38,xosp2yb8,P3,govt_reduce_inequ,4.6
39,xosp2yb8,P4,govt_reduce_inequ,1.0
40,xosp2yb8,self,name,xosp2yb8
41,xosp2yb8,friend1,name,Victor
42,xosp2yb8,friend2,name,Anni
43,xosp2yb8,friend3,name,Franzi
44,xosp2yb8,Green_Voter,name,Green_Voter
45,xosp2yb8,AfD_Voter,name,AfD_Voter
46,xosp2yb8,P1,name,P1
47,xosp2yb8,P2,name,P2
48,xosp2yb8,P3,name,P3
49,xosp2yb8,P4,name,P4
50,xosp2yb8,self,perceived_distances,
51,xosp2yb8,friend1,perceived_distances,148.9731519435633
52,xosp2yb8,friend2,perceived_distances,98.2179270368006
53,xosp2yb8,friend3,perceived_distances,85.21150157109074
54,xosp2yb8,Green_Voter,perceived_distances,56.88585061331157
55,xosp2yb8,AfD_Voter,perceived_distances,345.9815868861928
56,xosp2yb8,P1,perceived_distances,113.70417975239113
57,xosp2yb8,P2,perceived_distances,72.33975688392518
58,xosp2yb8,P3,perceived_distances,261.4470463906722
59,xosp2yb8,P4,perceived_distances,221.18670243480827
60,xosp2yb8,self,manhattan_distances,
61,xosp2yb8,friend1,manhattan_distances,0.25
62,xosp2yb8,friend2,manhattan_distances,0.25
63,xosp2yb8,friend3,manhattan_distances,0.0
64,xosp2yb8,Green_Voter,manhattan_distances,1.25
65,xosp2yb8,AfD_Voter,manhattan_distances,3.75
66,xosp2yb8,P1,manhattan_distances,0.5
67,xosp2yb8,P2,manhattan_distances,1.0
68,xosp2yb8,P3,manhattan_distances,2.5000000000000004
69,xosp2yb8,P4,manhattan_distances,4.0
70,xosp2yb8,self,euclidean_distances,
71,xosp2yb8,friend1,euclidean_distances,1.0
72,xosp2yb8,friend2,euclidean_distances,1.0
73,xosp2yb8,friend3,euclidean_distances,0.0
74,xosp2yb8,Green_Voter,euclidean_distances,2.6457513110645907
75,xosp2yb8,AfD_Voter,euclidean_distances,7.810249675906654
76,xosp2yb8,P1,euclidean_distances,1.4142135623730951
77,xosp2yb8,P2,euclidean_distances,2.23606797749979
78,xosp2yb8,P3,euclidean_distances,5.221110992882646
79,xosp2yb8,P4,euclidean_distances,8.248939325755767
0,h6ckwdki,self,climate_concern,7.0
1,h6ckwdki,friend1,climate_concern,4.0
2,h6ckwdki,friend2,climate_concern,6.0
3,h6ckwdki,friend3,climate_concern,6.0
4,h6ckwdki,Green_Voter,climate_concern,7.0
5,h6ckwdki,AfD_Voter,climate_concern,7.0
6,h6ckwdki,P1,climate_concern,7.0
7,h6ckwdki,P2,climate_concern,5.5
8,h6ckwdki,P3,climate_concern,4.6
9,h6ckwdki,P4,climate_concern,4.15
10,h6ckwdki,self,gay_adoption,7.0
11,h6ckwdki,friend1,gay_adoption,7.0
12,h6ckwdki,friend2,gay_adoption,6.0
13,h6ckwdki,friend3,gay_adoption,4.0
14,h6ckwdki,Green_Voter,gay_adoption,5.0
15,h6ckwdki,AfD_Voter,gay_adoption,5.0
16,h6ckwdki,P1,gay_adoption,7.0
17,h6ckwdki,P2,gay_adoption,5.5
18,h6ckwdki,P3,gay_adoption,4.3
19,h6ckwdki,P4,gay_adoption,3.85
20,h6ckwdki,self,migration_enriches_culture,7.0
21,h6ckwdki,friend1,migration_enriches_culture,6.0
22,h6ckwdki,friend2,migration_enriches_culture,3.0
23,h6ckwdki,friend3,migration_enriches_culture,7.0
24,h6ckwdki,Green_Voter,migration_enriches_culture,1.0
25,h6ckwdki,AfD_Voter,migration_enriches_culture,1.0
26,h6ckwdki,P1,migration_enriches_culture,7.0
27,h6ckwdki,P2,migration_enriches_culture,5.5
28,h6ckwdki,P3,migration_enriches_culture,2.5
29,h6ckwdki,P4,migration_enriches_culture,1.0
30,h6ckwdki,self,govt_reduce_inequ,7.0
31,h6ckwdki,friend1,govt_reduce_inequ,6.0
32,h6ckwdki,friend2,govt_reduce_inequ,5.0
33,h6ckwdki,friend3,govt_reduce_inequ,7.0
34,h6ckwdki,Green_Voter,govt_reduce_inequ,3.0
35,h6ckwdki,AfD_Voter,govt_reduce_inequ,3.0
36,h6ckwdki,P1,govt_reduce_inequ,7.0
37,h6ckwdki,P2,govt_reduce_inequ,5.5
38,h6ckwdki,P3,govt_reduce_inequ,4.6
